English,French,English,French,English,French,English,French
big,grand,small,petit,full,plein,empty,vide
long,long,short,court,cold,froid,hot,chaud
tall,grand,short,court,good,bon,bad,mauvais
old,ancien,young,jeune,clean,propre,dirty,sale
thick,épais,slim,svelte,wide,large,narrow,étroit
heavy,lourd,light,léger,sweet,sucre,sour,acide
dark,sombre,light,léger,curly,bouclé,straight,droit
dry,sec,wet,humide,,,,
