,基数词,序数词,,基数词,序数词
1,un,première,6,six,six-ième
2,deux,deux-ième,7,sept,sept-ième
3,trois,trois-ième,8,huit,huit-ième
4,quarte,quatr-ième,9,neuf,neuv-ième
5,cinq,cinqu-ième,10,dix,dix-ième
