主格,宾格,物主代词,主格,宾格,物主代词
je,moi,mon/ma/mes,nous,nous,notre/nos
tu,toi,ton/ta/tes,vous,vous,votre/vos
il,lui,son/sa/ses,ils,eux,-
elle,elle,son/sa/ses,elles,eux,-
